school,lat,lng
Blackhawk Technical College,42.593632,-89.014960
Chippewa Valley Technical College,44.794079,-91.505330
Fox Valley Technical College,44.283394,-88.460086
Gateway Technical College,42.607363,-87.848155
Lakeshore Technical College,43.924512,-87.752513
Madison Area Technical College,43.121814,-89.328997
Mid-State Technical College,44.392852,-89.784116
Milwaukee Area Technical College,43.043590,-87.920829
Moraine Park Technical College,43.785446,-88.418490
Nicolet Area Technical College,45.612526,-89.420866
Northcentral Technical College,44.986375,-89.645813
Northeast Wisconsin,44.527291,-88.107402
Southwest Wisconsin Technical College,42.976332,-90.636746
Waukesha County Technical College,43.069093,-88.256384
Western Technical College,43.815573,-91.246074
Wisconsin Indianhead Technical College,45.747920,-91.916788
